Date,Open,High,Low,Close,Volume
2024-01-01,99.81,102.7,95.17,98.68,2230040
2024-01-02,100.1,101.21,96.04,98.5,2675129
2024-01-03,99.67,100.32,98.01,98.22,2761087
2024-01-04,96.39,101.3,91.56,97.93,2681857
2024-01-05,98.53,101.72,94.34,94.81,249538
2024-01-06,93.57,94.93,93.23,94.02,1947721
2024-01-07,94.38,95.52,93.06,93.78,119267
2024-01-08,94.43,96.83,92.89,96.82,448980
2024-01-09,97.65,99.36,96.35,97.22,394538
2024-01-10,97.47,98.19,96.75,97.17,380290
2024-01-11,99.0,103.27,98.8,99.74,319456
2024-01-12,99.62,104.53,97.51,98.02,2740125
2024-01-13,96.81,100.25,94.99,96.63,163541
2024-01-14,98.49,102.33,97.72,98.86,523818
2024-01-15,96.9,99.33,94.36,97.75,890145
2024-01-16,97.54,98.66,93.83,94.46,2799936
2024-01-17,94.0,96.1,89.05,89.05,2586134
2024-01-18,88.27,92.72,87.06,89.29,2625048
2024-01-19,89.86,90.54,84.91,86.11,1183294
2024-01-20,84.15,87.28,79.96,82.79,411557
2024-01-21,81.15,84.15,79.78,82.41,1659039
2024-01-22,82.9,83.71,79.88,83.07,669326
2024-01-23,84.54,85.62,83.6,85.44,2660391
2024-01-24,84.44,85.55,80.69,85.26,924557
2024-01-25,86.01,88.07,83.49,83.85,298816
2024-01-26,82.27,82.66,77.45,78.69,1742535
2024-01-27,77.72,81.87,74.66,76.78,835820
2024-01-28,78.5,83.39,77.69,80.42,2841009
2024-01-29,81.83,84.98,80.28,84.59,955549
2024-01-30,85.59,86.12,83.42,84.09,295446
2024-02-01,82.8,84.77,79.85,80.5,1618946
2024-02-02,79.05,81.41,77.26,80.3,2289170
2024-02-03,80.64,81.51,80.27,80.29,1599346
2024-02-04,81.09,85.91,80.79,84.05,2122643
2024-02-05,82.32,84.01,81.46,81.64,2000400
2024-02-06,81.82,85.56,77.3,83.39,643348
2024-02-07,84.56,89.15,82.67,87.11,425768
2024-02-08,88.59,90.79,84.6,89.94,2502528
2024-02-09,88.0,91.38,85.98,86.05,403034
2024-02-10,84.37,87.64,79.4,86.65,1484748
2024-02-11,86.2,89.93,83.21,86.17,2370174
2024-02-12,84.51,88.31,84.17,86.66,2117279
2024-02-13,84.75,89.55,84.01,88.33,2868792
2024-02-14,90.01,91.44,89.76,90.27,2944312
2024-02-15,90.72,93.41,86.9,89.13,1953599
2024-02-16,89.12,90.48,86.98,87.86,2759914
2024-02-17,87.58,91.65,82.99,90.61,1712368
2024-02-18,89.49,94.11,88.28,89.06,1571131
2024-02-19,90.41,94.68,86.8,94.29,1260966
2024-02-20,95.58,96.32,93.12,96.08,1836378
2024-02-21,95.61,98.31,92.18,96.57,2720501
2024-02-22,96.38,96.94,96.03,96.82,274014
2024-02-23,97.53,99.08,95.63,97.87,2465750
2024-02-24,95.95,96.8,93.57,93.65,1217415
2024-02-25,92.6,93.48,92.17,92.99,1972676
